;Regija;NazivRegije;SifraOpstine;NazivOpstineL;OrgOblik;NazivOrgOblik;BrojGazdinstavaSva;BrojGazdinstavaAktivna
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;17;Sopot                 ;3;Preduzetnici;2;2
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;17;Sopot                 ;4;Zemljoradni?ke zadruge;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;17;Sopot                 ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;17;Sopot                 ;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;18;Stari Grad            ;1;Porodi?no poljoprivredno gazdinstvo;385;362
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;18;Stari Grad            ;2;Preduze?a;46;43
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;18;Stari Grad            ;3;Preduzetnici;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;18;Stari Grad            ;4;Zemljoradni?ke zadruge;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;18;Stari Grad            ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;18;Stari Grad            ;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD;19;Voždovac;1;Porodi?no poljoprivredno gazdinstvo;1198;1104
GRAD BEOGRAD          ;1;GRAD BEOGRAD;19;Voždovac;2;Preduze?a;37;31
GRAD BEOGRAD          ;1;GRAD BEOGRAD;19;Voždovac;3;Preduzetnici;6;6
GRAD BEOGRAD          ;1;GRAD BEOGRAD;19;Voždovac;4;Zemljoradni?ke zadruge;1;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD;19;Voždovac;5;Poljoprivredna gazdinstva sa statusom pravnog lica;2;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD;19;Voždovac;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD;20;Vra?ar;1;Porodi?no poljoprivredno gazdinstvo;481;457
GRAD BEOGRAD          ;1;GRAD BEOGRAD;20;Vra?ar;2;Preduze?a;42;41
GRAD BEOGRAD          ;1;GRAD BEOGRAD;20;Vra?ar;3;Preduzetnici;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD;20;Vra?ar;4;Zemljoradni?ke zadruge;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD;20;Vra?ar;5;Poljoprivredna gazdinstva sa statusom pravnog lica;2;2
GRAD BEOGRAD          ;1;GRAD BEOGRAD;20;Vra?ar;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;21;Zemun                 ;1;Porodi?no poljoprivredno gazdinstvo;1282;1200
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;21;Zemun                 ;2;Preduze?a;50;45
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;21;Zemun                 ;3;Preduzetnici;8;8
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;21;Zemun                 ;4;Zemljoradni?ke zadruge;2;2
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;21;Zemun                 ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;21;Zemun                 ;6;Nau?no istrživa?ke organizacije;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;22;Zvezdara              ;1;Porodi?no poljoprivredno gazdinstvo;1314;1222
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;22;Zvezdara              ;2;Preduze?a;23;20
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;22;Zvezdara              ;3;Preduzetnici;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;22;Zvezdara              ;4;Zemljoradni?ke zadruge;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;22;Zvezdara              ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;22;Zvezdara              ;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;56;Lazarevac             ;1;Porodi?no poljoprivredno gazdinstvo;2050;1936
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;56;Lazarevac             ;2;Preduze?a;5;4
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;56;Lazarevac             ;3;Preduzetnici;9;8
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;56;Lazarevac             ;4;Zemljoradni?ke zadruge;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;56;Lazarevac             ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;56;Lazarevac             ;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;70;Mladenovac            ;1;Porodi?no poljoprivredno gazdinstvo;3434;3116
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;70;Mladenovac            ;2;Preduze?a;11;10
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;70;Mladenovac            ;3;Preduzetnici;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;70;Mladenovac            ;4;Zemljoradni?ke zadruge;3;3
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;70;Mladenovac            ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;70;Mladenovac            ;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;120;Rakovica              ;1;Porodi?no poljoprivredno gazdinstvo;859;807
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;120;Rakovica              ;2;Preduze?a;11;11
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;120;Rakovica              ;3;Preduzetnici;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;120;Rakovica              ;4;Zemljoradni?ke zadruge;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;120;Rakovica              ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;120;Rakovica              ;6;Nau?no istrživa?ke organizacije;0;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;124;Surcin;1;Porodi?no poljoprivredno gazdinstvo;1187;1112
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;124;Surcin;2;Preduze?a;24;20
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;124;Surcin;3;Preduzetnici;2;2
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;124;Surcin;4;Zemljoradni?ke zadruge;1;0
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;124;Surcin;5;Poljoprivredna gazdinstva sa statusom pravnog lica;1;1
GRAD BEOGRAD          ;1;GRAD BEOGRAD          ;124;Surcin;6;Nau?no istrživa?ke organizacije;0;0
VOJVODINA;2;Severno-Ba?ki;206;Ba?ka Topola;1;Porodi?no poljoprivredno gazdinstvo;3638;3240
VOJVODINA;2;Severno-Ba?ki;206;Ba?ka Topola;2;Preduze?a;64;51
VOJVODINA;2;Severno-Ba?ki;206;Ba?ka Topola;3;Preduzetnici;5;5
VOJVODINA;2;Severno-Ba?ki;206;Ba?ka Topola;4;Zemljoradni?ke zadruge;2;1
VOJVODINA;2;Severno-Ba?ki;206;Ba?ka Topola;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
VOJVODINA;2;Severno-Ba?ki;206;Ba?ka Topola;6;Nau?no istrživa?ke organizacije;0;0
VOJVODINA;2;Severno-Ba?ki;219;Mali I?oš;1;Porodi?no poljoprivredno gazdinstvo;1014;896
VOJVODINA;2;Severno-Ba?ki;219;Mali I?oš;2;Preduze?a;15;12
VOJVODINA;2;Severno-Ba?ki;219;Mali I?oš;3;Preduzetnici;2;2
VOJVODINA;2;Severno-Ba?ki;219;Mali I?oš;4;Zemljoradni?ke zadruge;2;2
VOJVODINA;2;Severno-Ba?ki;219;Mali I?oš;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
VOJVODINA;2;Severno-Ba?ki;219;Mali I?oš;6;Nau?no istrživa?ke organizacije;0;0
VOJVODINA;2;Severno-Ba?ki;236;Subotica;1;Porodi?no poljoprivredno gazdinstvo;7620;6967
VOJVODINA;2;Severno-Ba?ki;236;Subotica;2;Preduze?a;124;109
VOJVODINA;2;Severno-Ba?ki;236;Subotica;3;Preduzetnici;4;3
VOJVODINA;2;Severno-Ba?ki;236;Subotica;4;Zemljoradni?ke zadruge;9;8
VOJVODINA;2;Severno-Ba?ki;236;Subotica;5;Poljoprivredna gazdinstva sa statusom pravnog lica;2;2
VOJVODINA;2;Severno-Ba?ki;236;Subotica;6;Nau?no istrživa?ke organizacije;0;0
VOJVODINA;3;Srednje-Banatski      ;220;Nova Crnja            ;1;Porodi?no poljoprivredno gazdinstvo;1669;1513
VOJVODINA;3;Srednje-Banatski      ;220;Nova Crnja            ;2;Preduze?a;9;7
VOJVODINA;3;Srednje-Banatski      ;220;Nova Crnja            ;3;Preduzetnici;1;1
VOJVODINA;3;Srednje-Banatski      ;220;Nova Crnja            ;4;Zemljoradni?ke zadruge;2;2
VOJVODINA;3;Srednje-Banatski      ;220;Nova Crnja            ;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
VOJVODINA;3;Srednje-Banatski      ;220;Nova Crnja            ;6;Nau?no istrživa?ke organizacije;0;0
VOJVODINA;3;Srednje-Banatski;221;Novi Be?ej;1;Porodi?no poljoprivredno gazdinstvo;2207;1994
VOJVODINA;3;Srednje-Banatski;221;Novi Be?ej;2;Preduze?a;19;18
VOJVODINA;3;Srednje-Banatski;221;Novi Be?ej;3;Preduzetnici;2;2
VOJVODINA;3;Srednje-Banatski;221;Novi Be?ej;4;Zemljoradni?ke zadruge;6;6
VOJVODINA;3;Srednje-Banatski;221;Novi Be?ej;5;Poljoprivredna gazdinstva sa statusom pravnog lica;0;0
VOJVODINA;3;Srednje-Banatski;221;Novi Be?ej;6;Nau?no istrživa?ke organizacije;0;0
VOJVODINA;3;Srednje-Banatski;230;Se?anj;1;Porodi?no poljoprivredno gazdinstvo;1708;1482
VOJVODINA;3;Srednje-Banatski;230;Se?anj;2;Preduze?a;24;22
